id,name,common_names,usda_code,family,family_apg
1,"Abies amabilis (Dougl. ex Loud.) Dougl. ex Forbes","Pacific Silver Fir",ABAM,Pinaceae,Pinaceae
2,"Abies balsamea (L.) P. Mill.","Balsam Fir",ABBA,Pinaceae,Pinaceae
3,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","White Fir",ABCOC,Pinaceae,Pinaceae
4,"Abies fraseri (Pursh) Poir.","Fraser's Fir",ABFR,Pinaceae,Pinaceae
5,"Abies grandis (Dougl. ex D. Don) Lindl.","Grand Fir",ABGRG,Pinaceae,Pinaceae
6,"Abies lasiocarpa (Hook.) Nutt.","Subalpine Fir",ABLAL,Pinaceae,Pinaceae
7,"Abies procera Rehd.","Noble Fir",ABPR,Pinaceae,Pinaceae
8,"Abies sp.","Balsam Fir","",Pinaceae,Pinaceae
9,"Abronia elliptica A. Nels.","Fragrant White Sand Verbena",ABEL,Nyctaginaceae,Nyctaginaceae
10,"Abronia fragrans Nutt. ex Hook.","Snowball Sand Verbena",ABFR2,Nyctaginaceae,Nyctaginaceae
11,"Abronia latifolia Eschsch.","Coastal Sand Verbena",ABLA2,Nyctaginaceae,Nyctaginaceae
12,"Abronia turbinata Torr. ex S. Wats.","Transmontane Sand Verbena",ABTU,Nyctaginaceae,Nyctaginaceae
13,"Abronia villosa S. Wats.","Desert Sand Verbena",ABVIV,Nyctaginaceae,Nyctaginaceae
14,"Abutilon incanum (Link) Sweet",Pelotazo,ABIN,Malvaceae,Malvaceae
15,"Acacia greggii Gray","Catclaw Acacia",ACGRG3,Fabaceae,Fabaceae
16,"Acacia koa Gray",Koa,ACKO,Fabaceae,Fabaceae
17,"Acacia sp.","Cats Claw","",Fabaceae,Fabaceae
18,"Acacia willardiana","Palo Blanco","",Fabaceae,Fabaceae
19,"Acalypha virginica L.","Virginia Threeseed Mercury",ACVI,Euphorbiaceae,Euphorbiaceae
20,"Acamptopappus sphaerocephalus var. hirtellus Blake","Rayless Goldenhead",ACSPH,Asteraceae,Asteraceae
21,"Acer alba L.","White Maple","",Salicaceae,Salicaceae
22,"Acer circinatum Pursh","Vine Maple",ACCI,Aceraceae,Sapindaceae
23,"Acer glabrum Torr.","Rocky Mountain Maple",ACGLG2,Aceraceae,Sapindaceae
24,"Acer glabrum var. douglasii (Hook.) Dippel","Douglas Maple",ACGLD4,Aceraceae,Sapindaceae
25,"Acer glabrum var. neomexicanum (Greene) Kearney & Peebles","New Mexico Maple",ACGLN2,Aceraceae,Sapindaceae
26,"Acer macrophyllum Pursh","Bigleaf Maple",ACMA3,Aceraceae,Sapindaceae
27,"Acer negundo L.",Boxelder,ACNEN,Aceraceae,Sapindaceae
28,"Acer negundo var. interius (Britt.) Sarg.","Boxelder Maple",ACNEI2,Aceraceae,Sapindaceae
29,"Acer negundo var. negundo",Boxelder,ACNEN,Aceraceae,Sapindaceae
30,"Acer nigrum Michx. f.","Black Maple",ACNI5,Aceraceae,Sapindaceae
31,"Acer pensylvanicum L.","Striped Maple",ACPE,Aceraceae,Sapindaceae
32,"Acer rubrum L.","Red Maple",ACRUR,Aceraceae,Sapindaceae
33,"Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Drummond's Maple",ACRUD,Aceraceae,Sapindaceae
34,"Acer saccharinum L.","Silver Maple",ACSA2,Aceraceae,Sapindaceae
35,"Acer saccharum Marsh.","Sugar Maple",ACSAS,Aceraceae,Sapindaceae
36,"Acer sp.",Maple,"",Aceraceae,Sapindaceae
37,"Acer spicatum Lam.","Mountain Maple",ACSP2,Aceraceae,Sapindaceae
38,"Achillea millefolium L.","Common Yarrow",ACMIM2,Asteraceae,Asteraceae
39,"Achillea millefolium var. arenicola (Heller) Nobs","Common Yarrow",ACMIA2,Asteraceae,Asteraceae
40,"Achillea millefolium var. borealis (Bong.) Farw.","Boreal Yarrow",ACMIB,Asteraceae,Asteraceae
41,"Achillea millefolium var. californica (Pollard) Jepson","California Yarrow",ACMIC,Asteraceae,Asteraceae
42,"Achillea millefolium var. occidentalis DC.","Western Yarrow",ACMIO,Asteraceae,Asteraceae
